currency,price,date
DASH,0.0259,2014-02-04T23:00:00.000Z
DASH,0.02873,2014-02-05T23:00:00.000Z
DASH,0.08593,2014-02-06T23:00:00.000Z
DASH,0.1649,2014-02-07T23:00:00.000Z
DASH,0.128,2014-02-08T23:00:00.000Z
DASH,0.1045,2014-02-09T23:00:00.000Z
DASH,0.1979,2014-02-10T23:00:00.000Z
DASH,0.2039,2014-02-11T23:00:00.000Z
DASH,0.26,2014-02-12T23:00:00.000Z
DASH,0.2496,2014-02-13T23:00:00.000Z
DASH,0.09164,2014-02-14T23:00:00.000Z
DASH,0.2344,2014-02-15T23:00:00.000Z
DASH,0.1818,2014-02-16T23:00:00.000Z
DASH,0.2159,2014-02-17T23:00:00.000Z
DASH,0.6532,2014-02-18T23:00:00.000Z
DASH,0.4409,2014-02-19T23:00:00.000Z
DASH,0.4341,2014-02-20T23:00:00.000Z
DASH,0.2183,2014-02-21T23:00:00.000Z
DASH,0.2175,2014-02-22T23:00:00.000Z
DASH,0.4141,2014-02-23T23:00:00.000Z
DASH,0.5645,2014-02-24T23:00:00.000Z
DASH,0.2679,2014-02-25T23:00:00.000Z
DASH,0.1222,2014-02-26T23:00:00.000Z
DASH,0.7052,2014-02-27T23:00:00.000Z
DASH,0.6436,2014-02-28T23:00:00.000Z
DASH,0.5625,2014-03-01T23:00:00.000Z
DASH,0.9475,2014-03-02T23:00:00.000Z
DASH,1.02,2014-03-03T23:00:00.000Z
DASH,1.12,2014-03-04T23:00:00.000Z
DASH,0.9928,2014-03-05T23:00:00.000Z
DASH,1.01,2014-03-06T23:00:00.000Z
DASH,1.02,2014-03-07T23:00:00.000Z
DASH,0.8881,2014-03-08T23:00:00.000Z
DASH,0.8535,2014-03-09T23:00:00.000Z
DASH,0.8152,2014-03-10T23:00:00.000Z
DASH,0.754,2014-03-11T23:00:00.000Z
DASH,0.84,2014-03-12T23:00:00.000Z
DASH,0.8115,2014-03-13T23:00:00.000Z
DASH,0.7882,2014-03-14T23:00:00.000Z
DASH,0.7871,2014-03-15T23:00:00.000Z
DASH,0.7432,2014-03-16T23:00:00.000Z
DASH,0.7219,2014-03-17T23:00:00.000Z
DASH,0.7883,2014-03-18T23:00:00.000Z
DASH,0.7283,2014-03-19T23:00:00.000Z
DASH,0.7202,2014-03-20T23:00:00.000Z
DASH,0.6798,2014-03-21T23:00:00.000Z
DASH,0.6602,2014-03-22T23:00:00.000Z
DASH,0.7222,2014-03-23T23:00:00.000Z
DASH,0.7441,2014-03-24T23:00:00.000Z
DASH,0.8059,2014-03-25T23:00:00.000Z
DASH,0.8105,2014-03-26T23:00:00.000Z
DASH,0.8156,2014-03-27T23:00:00.000Z
DASH,0.6584,2014-03-28T23:00:00.000Z
DASH,0.685,2014-03-29T23:00:00.000Z
DASH,0.6758,2014-03-30T22:00:00.000Z
DASH,0.6426,2014-03-31T22:00:00.000Z
DASH,0.6097,2014-04-01T22:00:00.000Z
DASH,0.6511,2014-04-02T22:00:00.000Z
DASH,0.5856,2014-04-03T22:00:00.000Z
DASH,0.6152,2014-04-04T22:00:00.000Z
DASH,0.6212,2014-04-05T22:00:00.000Z
DASH,0.6758,2014-04-06T22:00:00.000Z
DASH,0.6291,2014-04-07T22:00:00.000Z
DASH,0.6011,2014-04-08T22:00:00.000Z
DASH,0.6163,2014-04-09T22:00:00.000Z
DASH,0.6124,2014-04-10T22:00:00.000Z
DASH,0.4856,2014-04-11T22:00:00.000Z
DASH,0.5744,2014-04-12T22:00:00.000Z
DASH,0.5799,2014-04-13T22:00:00.000Z
DASH,0.5516,2014-04-14T22:00:00.000Z
DASH,0.6171,2014-04-15T22:00:00.000Z
DASH,0.5975,2014-04-16T22:00:00.000Z
DASH,0.6712,2014-04-17T22:00:00.000Z
DASH,0.6195,2014-04-18T22:00:00.000Z
DASH,0.7914,2014-04-19T22:00:00.000Z
DASH,0.7554,2014-04-20T22:00:00.000Z
DASH,0.7328,2014-04-21T22:00:00.000Z
DASH,0.7081,2014-04-22T22:00:00.000Z
DASH,0.7075,2014-04-23T22:00:00.000Z
DASH,0.9015,2014-04-24T22:00:00.000Z
DASH,1.07,2014-04-25T22:00:00.000Z
DASH,1.81,2014-04-26T22:00:00.000Z
DASH,1.65,2014-04-27T22:00:00.000Z
DASH,1.68,2014-04-28T22:00:00.000Z
DASH,1.74,2014-04-29T22:00:00.000Z
DASH,1.52,2014-04-30T22:00:00.000Z
DASH,1.62,2014-05-01T22:00:00.000Z
DASH,1.56,2014-05-02T22:00:00.000Z
DASH,1.3,2014-05-03T22:00:00.000Z
DASH,1.18,2014-05-04T22:00:00.000Z
DASH,1.57,2014-05-05T22:00:00.000Z
DASH,1.63,2014-05-06T22:00:00.000Z
DASH,1.63,2014-05-07T22:00:00.000Z
DASH,1.61,2014-05-08T22:00:00.000Z
DASH,1.68,2014-05-09T22:00:00.000Z
DASH,2.23,2014-05-10T22:00:00.000Z
DASH,2.57,2014-05-11T22:00:00.000Z
DASH,2.56,2014-05-12T22:00:00.000Z
DASH,2.46,2014-05-13T22:00:00.000Z
DASH,2.72,2014-05-14T22:00:00.000Z
DASH,4.26,2014-05-15T22:00:00.000Z
DASH,5.83,2014-05-16T22:00:00.000Z
DASH,5.97,2014-05-17T22:00:00.000Z
DASH,4.74,2014-05-18T22:00:00.000Z
DASH,6.43,2014-05-19T22:00:00.000Z
DASH,7.04,2014-05-20T22:00:00.000Z
DASH,7,2014-05-21T22:00:00.000Z
DASH,7.99,2014-05-22T22:00:00.000Z
DASH,10.7,2014-05-23T22:00:00.000Z
DASH,13.26,2014-05-24T22:00:00.000Z
DASH,11.71,2014-05-25T22:00:00.000Z
DASH,15.11,2014-05-26T22:00:00.000Z
DASH,11.35,2014-05-27T22:00:00.000Z
DASH,10.61,2014-05-28T22:00:00.000Z
DASH,7.31,2014-05-29T22:00:00.000Z
DASH,9.26,2014-05-30T22:00:00.000Z
DASH,10.96,2014-05-31T22:00:00.000Z
DASH,11.51,2014-06-01T22:00:00.000Z
DASH,13.65,2014-06-02T22:00:00.000Z
DASH,14.98,2014-06-03T22:00:00.000Z
DASH,13.81,2014-06-04T22:00:00.000Z
DASH,12.2,2014-06-05T22:00:00.000Z
DASH,11.14,2014-06-06T22:00:00.000Z
DASH,11.77,2014-06-07T22:00:00.000Z
DASH,10.45,2014-06-08T22:00:00.000Z
DASH,9.51,2014-06-09T22:00:00.000Z
DASH,9.46,2014-06-10T22:00:00.000Z
DASH,11.74,2014-06-11T22:00:00.000Z
DASH,10.61,2014-06-12T22:00:00.000Z
DASH,10.45,2014-06-13T22:00:00.000Z
DASH,10.67,2014-06-14T22:00:00.000Z
DASH,10.38,2014-06-15T22:00:00.000Z
DASH,9.87,2014-06-16T22:00:00.000Z
DASH,10.44,2014-06-17T22:00:00.000Z
DASH,10.29,2014-06-18T22:00:00.000Z
DASH,10.12,2014-06-19T22:00:00.000Z
DASH,10.92,2014-06-20T22:00:00.000Z
DASH,10.47,2014-06-21T22:00:00.000Z
DASH,9.5,2014-06-22T22:00:00.000Z
DASH,9.45,2014-06-23T22:00:00.000Z
DASH,9.9,2014-06-24T22:00:00.000Z
DASH,9.62,2014-06-25T22:00:00.000Z
DASH,8.64,2014-06-26T22:00:00.000Z
DASH,9.94,2014-06-27T22:00:00.000Z
DASH,9.97,2014-06-28T22:00:00.000Z
DASH,9.38,2014-06-29T22:00:00.000Z
DASH,9.12,2014-06-30T22:00:00.000Z
DASH,8.89,2014-07-01T22:00:00.000Z
DASH,8.04,2014-07-02T22:00:00.000Z
DASH,6.68,2014-07-03T22:00:00.000Z
DASH,7.73,2014-07-04T22:00:00.000Z
DASH,7.4,2014-07-05T22:00:00.000Z
DASH,6.79,2014-07-06T22:00:00.000Z
DASH,6.3,2014-07-07T22:00:00.000Z
DASH,6.44,2014-07-08T22:00:00.000Z
DASH,7.08,2014-07-09T22:00:00.000Z
DASH,7.16,2014-07-10T22:00:00.000Z
DASH,6.69,2014-07-11T22:00:00.000Z
DASH,6.8,2014-07-12T22:00:00.000Z
DASH,6.58,2014-07-13T22:00:00.000Z
DASH,6.41,2014-07-14T22:00:00.000Z
DASH,6.18,2014-07-15T22:00:00.000Z
DASH,6.28,2014-07-16T22:00:00.000Z
DASH,6.36,2014-07-17T22:00:00.000Z
DASH,7.52,2014-07-18T22:00:00.000Z
DASH,7.27,2014-07-19T22:00:00.000Z
DASH,7.06,2014-07-20T22:00:00.000Z
DASH,7.04,2014-07-21T22:00:00.000Z
DASH,6.81,2014-07-22T22:00:00.000Z
DASH,6.29,2014-07-23T22:00:00.000Z
DASH,6.38,2014-07-24T22:00:00.000Z
DASH,6.1,2014-07-25T22:00:00.000Z
DASH,5.97,2014-07-26T22:00:00.000Z
DASH,6.09,2014-07-27T22:00:00.000Z
DASH,5.89,2014-07-28T22:00:00.000Z
DASH,5.35,2014-07-29T22:00:00.000Z
DASH,4.71,2014-07-30T22:00:00.000Z
DASH,4.39,2014-07-31T22:00:00.000Z
DASH,5.51,2014-08-01T22:00:00.000Z
DASH,5.65,2014-08-02T22:00:00.000Z
DASH,5.62,2014-08-03T22:00:00.000Z
DASH,5.79,2014-08-04T22:00:00.000Z
DASH,5.39,2014-08-05T22:00:00.000Z
DASH,5.47,2014-08-06T22:00:00.000Z
DASH,5.85,2014-08-07T22:00:00.000Z
DASH,5.64,2014-08-08T22:00:00.000Z
DASH,5.95,2014-08-09T22:00:00.000Z
DASH,5.6,2014-08-10T22:00:00.000Z
DASH,5.61,2014-08-11T22:00:00.000Z
DASH,5.12,2014-08-12T22:00:00.000Z
DASH,5.05,2014-08-13T22:00:00.000Z
DASH,4.95,2014-08-14T22:00:00.000Z
DASH,4.04,2014-08-15T22:00:00.000Z
DASH,3.68,2014-08-16T22:00:00.000Z
DASH,3.14,2014-08-17T22:00:00.000Z
DASH,2.43,2014-08-18T22:00:00.000Z
DASH,1.52,2014-08-19T22:00:00.000Z
DASH,3.21,2014-08-20T22:00:00.000Z
DASH,3.84,2014-08-21T22:00:00.000Z
DASH,3.39,2014-08-22T22:00:00.000Z
DASH,3.21,2014-08-23T22:00:00.000Z
DASH,3.07,2014-08-24T22:00:00.000Z
DASH,3.11,2014-08-25T22:00:00.000Z
DASH,2.67,2014-08-26T22:00:00.000Z
DASH,2.74,2014-08-27T22:00:00.000Z
DASH,2.3,2014-08-28T22:00:00.000Z
DASH,2.37,2014-08-29T22:00:00.000Z
DASH,2.56,2014-08-30T22:00:00.000Z
DASH,2.4,2014-08-31T22:00:00.000Z
DASH,2.42,2014-09-01T22:00:00.000Z
DASH,2.3,2014-09-02T22:00:00.000Z
DASH,2.32,2014-09-03T22:00:00.000Z
DASH,2.71,2014-09-04T22:00:00.000Z
DASH,3.13,2014-09-05T22:00:00.000Z
DASH,2.84,2014-09-06T22:00:00.000Z
DASH,3.01,2014-09-07T22:00:00.000Z
DASH,2.93,2014-09-08T22:00:00.000Z
DASH,2.78,2014-09-09T22:00:00.000Z
DASH,2.91,2014-09-10T22:00:00.000Z
DASH,2.78,2014-09-11T22:00:00.000Z
DASH,2.77,2014-09-12T22:00:00.000Z
DASH,2.8,2014-09-13T22:00:00.000Z
DASH,2.88,2014-09-14T22:00:00.000Z
DASH,2.8,2014-09-15T22:00:00.000Z
