currency,price,date
LTC,2.59,2013-09-30T22:00:00.000Z
LTC,2.55,2013-10-01T22:00:00.000Z
LTC,2.67,2013-10-02T22:00:00.000Z
LTC,2.34,2013-10-03T22:00:00.000Z
LTC,2.5,2013-10-04T22:00:00.000Z
LTC,2.61,2013-10-05T22:00:00.000Z
LTC,2.61,2013-10-06T22:00:00.000Z
LTC,2.63,2013-10-07T22:00:00.000Z
LTC,2.35,2013-10-08T22:00:00.000Z
LTC,2.29,2013-10-09T22:00:00.000Z
LTC,2.23,2013-10-10T22:00:00.000Z
LTC,2.68,2013-10-11T22:00:00.000Z
LTC,2.8,2013-10-12T22:00:00.000Z
LTC,2.57,2013-10-13T22:00:00.000Z
LTC,2.66,2013-10-14T22:00:00.000Z
LTC,2.88,2013-10-15T22:00:00.000Z
LTC,3,2013-10-16T22:00:00.000Z
LTC,2.75,2013-10-17T22:00:00.000Z
LTC,2.84,2013-10-18T22:00:00.000Z
LTC,3.03,2013-10-19T22:00:00.000Z
LTC,3.3,2013-10-20T22:00:00.000Z
LTC,3.16,2013-10-21T22:00:00.000Z
LTC,1.74,2013-10-22T22:00:00.000Z
LTC,1.83,2013-10-23T22:00:00.000Z
LTC,2.05,2013-10-24T22:00:00.000Z
LTC,4.35,2013-10-25T22:00:00.000Z
LTC,4.16,2013-10-26T22:00:00.000Z
LTC,3.96,2013-10-27T23:00:00.000Z
LTC,4.35,2013-10-28T23:00:00.000Z
LTC,2.41,2013-10-29T23:00:00.000Z
LTC,2.51,2013-10-30T23:00:00.000Z
LTC,2.45,2013-10-31T23:00:00.000Z
LTC,2.49,2013-11-01T23:00:00.000Z
LTC,2.6,2013-11-02T23:00:00.000Z
LTC,2.67,2013-11-03T23:00:00.000Z
LTC,3.24,2013-11-04T23:00:00.000Z
LTC,3.89,2013-11-05T23:00:00.000Z
LTC,3.33,2013-11-06T23:00:00.000Z
LTC,3.71,2013-11-07T23:00:00.000Z
LTC,4.79,2013-11-08T23:00:00.000Z
LTC,5.36,2013-11-09T23:00:00.000Z
LTC,5.79,2013-11-10T23:00:00.000Z
LTC,3.93,2013-11-11T23:00:00.000Z
LTC,3.2,2013-11-12T23:00:00.000Z
LTC,4.22,2013-11-13T23:00:00.000Z
LTC,4.64,2013-11-14T23:00:00.000Z
LTC,4.46,2013-11-15T23:00:00.000Z
LTC,4.51,2013-11-16T23:00:00.000Z
LTC,4.42,2013-11-17T23:00:00.000Z
